,address,city,country,event_date,event_name,genre,is_presale,latitude_left,longitude_left,max_tickets,num_markets,onsale_date,postalCode,price_max,price_min,sold_out,state,subgenre,url,venue_name_left,popularity,headliner,support,event_time,id_y,capacity,street,zip,metro_area
0,303 Poarch Road,Atmore,US,2019-08-11 02:00:00+00:00,Trace Adkins,Country,0,31.104181300000004,-87.48291640000002,,1.0,2019-06-14 16:30:00+00:00,36502,65.0,20.0,0.0,AL,Country,https://www.ticketmaster.com/trace-adkins-atmore-alabama-08-10-2019/event/1B0056CE9F32471E,Wind Creek Casino and Hotel - Atmore,0.056629999999999986,Trace Adkins,,2019-08-10 21:00:00-05:00,17123,,303 Poarch Road,36502,Mobile
1,1001 19th Street N,Birmingham,US,2019-09-09 00:00:00+00:00,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,Pop,1,33.523652500000004,-86.8137679,,1.0,2019-04-12 17:00:00+00:00,35203,275.0,27.5,0.0,AL,Pop,https://www.ticketmaster.com/nickelodeons-jojo-siwa-dream-the-tour-birmingham-alabama-09-08-2019/event/2000567C811E870D,Legacy Arena at The BJCC ,0.003927,JoJo Siwa,The Belles Official,2019-09-14 18:00:00-05:00,671,,One AT&T Center,78219,San Antonio
2,1001 19th Street N,Birmingham,US,2019-09-05 01:00:00+00:00,Backstreet Boys: DNA World Tour,Rock,1,33.523652500000004,-86.8137679,,1.0,2018-11-14 16:00:00+00:00,35203,850.0,39.5,0.0,AL,Pop,https://www.ticketmaster.com/backstreet-boys-dna-world-tour-birmingham-alabama-09-04-2019/event/200055687E47809B,Legacy Arena at The BJCC ,0.163117,Backstreet Boys,Baylee Littrell,2019-08-20 19:00:00-04:00,1770713,19772.0,1400 Edwards Mill Road,27607,Raleigh
3,2100 Richard Arrington Boulevard,Birmingham,US,2019-11-11 02:00:00+00:00,Kevin Gates - I'M HIM TOUR,Hip-Hop/Rap,1,33.523727,-86.81011,,1.0,2019-08-02 15:00:00+00:00,35203,148.0,36.0,0.0,AL,French Rap,https://www.ticketmaster.com/kevin-gates-im-him-tour-birmingham-alabama-11-10-2019/event/200056E88D088C29,BJCC Concert Hall,0.09779700000000001,Kevin Gates,,,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
4,1001 19th Street N,Birmingham,US,2019-11-14 01:30:00+00:00,Jonas Brothers: Happiness Begins Tour,Rock,1,33.523652500000004,-86.8137679,,1.0,2019-06-14 15:00:00+00:00,35203,517.95,37.95,0.0,AL,Pop,https://www.ticketmaster.com/jonas-brothers-happiness-begins-tour-birmingham-alabama-11-13-2019/event/200056BED02990E9,Legacy Arena at The BJCC ,0.15529400000000002,Jonas Brothers,Bebe Rexha,2019-08-14 19:30:00-04:00,1770713,19772.0,1400 Edwards Mill Road,27607,Raleigh
5,23101 Canal Road,Orange Beach,US,2019-09-28 23:00:00+00:00,Lynyrd Skynyrd: Last of the Street Survivors Farewell Tour,Rock,1,30.2904338,-87.58747,8,1.0,2019-02-08 16:00:00+00:00,36561,341.0,11.0,0.0,AL,Pop,https://www.ticketmaster.com/lynyrd-skynyrd-last-of-the-street-orange-beach-alabama-09-28-2019/event/1B00563CDD6EA8EE,The Wharf Amphitheater,0.211842,Lynyrd Skynyrd,Gov't Mule,2019-08-09 19:00:00-06:00,2159049,12000.0,"5601 University Blvd SE,",87106,Albuquerque
6,23101 Canal Road,Orange Beach,US,2019-09-01 00:00:00+00:00,Chris Stapleton's All American Road Show,Country,1,30.2904338,-87.58747,4,1.0,2019-02-01 16:00:00+00:00,36561,80.75,40.75,0.0,AL,Country,https://www.ticketmaster.com/chris-stapletons-all-american-road-show-orange-beach-alabama-08-31-2019/event/1B0056358EF0533B,The Wharf Amphitheater,0.004078,The Marcus King Band,,,4079549,,23325 Wharf Lane,36561,Mobile
7,23101 Canal Road,Orange Beach,US,2019-08-21 00:30:00+00:00,Pentatonix: The World Tour with special guest Rachel Platten,Rock,1,30.2904338,-87.58747,4,1.0,2019-02-15 18:00:00+00:00,36561,122.5,18.0,0.0,AL,Pop,https://www.ticketmaster.com/pentatonix-the-world-tour-with-special-orange-beach-alabama-08-20-2019/event/1B005644A9526FDA,The Wharf Amphitheater,0.004078,The Marcus King Band,,,4079549,,23325 Wharf Lane,36561,Mobile
8,700 Monroe Street,Huntsville,US,2019-11-14 03:00:00+00:00,Goo Goo Dolls,Rock,1,34.726557,-86.589925,,1.0,2019-07-26 15:00:00+00:00,35801,71.5,31.5,0.0,AL,Alternative Rock,https://www.ticketmaster.com/goo-goo-dolls-huntsville-alabama-11-13-2019/event/200056F3957F9016,Von Braun Center Concert Hall,0.23794400000000002,The Goo Goo Dolls,Beach Slang,2019-11-13 20:00:00-06:00,1429,,700 Monroe Street S.w.,35801,Huntsville
9,2710 Jack Warner Parkway,Tuscaloosa,US,2019-08-23 00:00:00+00:00,Pentatonix: The World Tour with special guest Rachel Platten,Rock,1,33.21155727,-87.57342428,4,1.0,2019-02-15 18:00:00+00:00,35406,144.5,10.0,0.0,AL,Pop,https://www.ticketmaster.com/pentatonix-the-world-tour-with-special-tuscaloosa-alabama-08-22-2019/event/20005646E18BA216,Tuscaloosa Amphitheater,0.096055,Pentatonix,Rachel Platten,2019-08-22 19:00:00-05:00,1227746,,2710 Jack Warner Parkway,35401,Birmingham
10,1001 19th Street N,Birmingham,US,2019-10-18 00:00:00+00:00,MercyMe Imagine Nation Tour,Rock,1,33.523652500000004,-86.8137679,8,1.0,2019-05-17 15:00:00+00:00,35203,160.0,23.75,0.0,AL,Pop,https://www.ticketmaster.com/mercyme-imagine-nation-tour-birmingham-alabama-10-17-2019/event/200056A986A88AD3,Legacy Arena at The BJCC ,0.043005,MercyMe,Austin French,2019-09-08 19:00:00-07:00,28655,,4000 E. Ontario Center Pkwy.,91764,Los Angeles
11,1001 19th Street N,Birmingham,US,2019-10-27 01:00:00+00:00,Eric Church: Double Down Tour,Country,1,33.523652500000004,-86.8137679,,1.0,2019-05-03 15:00:00+00:00,35203,147.0,13.0,0.0,AL,Country,https://www.ticketmaster.com/eric-church-double-down-tour-birmingham-alabama-10-26-2019/event/20005696A5309111,Legacy Arena at The BJCC ,0.12428199999999999,Eric Church,,2019-10-25 20:00:00-05:00,498001,18000.0,1 Verizon Arena Way,72114,Little Rock
12,201 Tallapoosa Street,Montgomery,US,2019-11-11 02:00:00+00:00,Alice Cooper: Ol' Black Eyes Is Back,Rock,1,32.379101,-86.312081,,1.0,2019-06-07 15:00:00+00:00,36104,112.0,47.0,0.0,AL,Pop,https://www.ticketmaster.com/alice-cooper-ol-black-eyes-is-montgomery-alabama-11-10-2019/event/200056B7AEFA925E,Montgomery Performing Arts Centre,0.00025,Black Jacket Symphony,,2019-09-14 20:00:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
13,700 Monroe Street,Huntsville,US,2019-11-13 03:00:00+00:00,Alice Cooper,Rock,1,34.726557,-86.589925,,1.0,2019-06-07 15:00:00+00:00,35801,96.5,42.0,0.0,AL,Pop,https://www.ticketmaster.com/alice-cooper-huntsville-alabama-11-12-2019/event/200056BE93568A85,Von Braun Center Concert Hall,0.11774100000000001,Alice Cooper,,2019-11-15 20:00:00-05:00,109151,,101 W. Broad St.,29601,Charlotte
14,2100 Richard Arrington Boulevard,Birmingham,US,2019-08-25 01:00:00+00:00,Black Jacket Symphony: Eagles Hotel California,Rock,1,33.523727,-86.81011,,1.0,2019-03-01 16:00:00+00:00,35203,49.5,24.5,0.0,AL,Pop,https://www.ticketmaster.com/black-jacket-symphony-eagles-hotel-california-birmingham-alabama-08-24-2019/event/2000565704EB9413,BJCC Concert Hall,0.000246,Black Jacket Symphony,,2019-08-24 20:00:00-05:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
15,1817 3rd Ave. North,Birmingham,US,2019-10-20 00:30:00+00:00,Wilco: Ode to Joy Tour,Rock,1,33.515078,-86.80918,,1.0,2019-06-07 15:00:00+00:00,35203,55.5,35.5,0.0,AL,Pop,https://www.ticketmaster.com/wilco-ode-to-joy-tour-birmingham-alabama-10-19-2019/event/200056BF8F0A8BDB,Alabama Theatre,0.13254100000000002,Wilco,,2019-10-19 19:30:00-05:00,1354,,1817 3rd Avenue North,35203,Birmingham
16,2100 Richard Arrington Boulevard,Birmingham,US,2019-10-22 00:30:00+00:00,Bastille,Rock,1,33.523727,-86.81011,6,1.0,2019-05-10 15:00:00+00:00,35203,73.5,33.5,0.0,AL,Pop,https://www.ticketmaster.com/bastille-birmingham-alabama-10-21-2019/event/2000569998A28DF7,BJCC Concert Hall,0.353977,Bastille,Joywave,2019-10-21 19:30:00-05:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
17,2710 Jack Warner Parkway,Tuscaloosa,US,2019-08-26 01:00:00+00:00,Mary J. Blige & Nas,R&B,1,33.21155727,-87.57342428,,1.0,2019-04-19 15:00:00+00:00,35406,496.0,13.02,0.0,AL,R&B,https://www.ticketmaster.com/mary-j-blige-nas-tuscaloosa-alabama-08-25-2019/event/20005689DAC49B5D,Tuscaloosa Amphitheater,0.24259499999999998,Mary J. Blige,Nas,2019-08-25 20:00:00-05:00,1227746,,2710 Jack Warner Parkway,35401,Birmingham
18,1817 3rd Ave. North,Birmingham,US,2019-11-09 02:00:00+00:00,The Raconteurs,Rock,1,33.515078,-86.80918,,1.0,2019-07-19 15:00:00+00:00,35203,81.5,51.5,0.0,AL,Alternative Rock,https://www.ticketmaster.com/the-raconteurs-birmingham-alabama-11-08-2019/event/200056E9AFC38E46,Alabama Theatre,0.100391,The Raconteurs,,2019-11-08 20:00:00-06:00,1354,,1817 3rd Avenue North,35203,Birmingham
19,6 South Joachim St.,Mobile,US,2019-09-14 01:00:00+00:00,The Black Jacket Symphony: The Eagles Hotel California,Rock,1,30.6908223,-88.0438137,,1.0,2019-03-15 15:00:00+00:00,36602,32.0,27.0,0.0,AL,Pop,https://www.ticketmaster.com/the-black-jacket-symphony-the-eagles-mobile-alabama-09-13-2019/event/1B005665BE2D8058,Saenger Theatre Mobile,0.000252,Black Jacket Symphony,,2019-10-18 20:00:00-04:00,1101776,,118 S. Palafox Pl.,32502,Mobile
20,2100 Richard Arrington Boulevard,Birmingham,US,2019-11-09 01:30:00+00:00,KC & the Sunshine Band,Rock,1,33.523727,-86.81011,,1.0,2019-05-10 15:00:00+00:00,35203,95.0,35.0,0.0,AL,Pop,https://www.ticketmaster.com/kc-the-sunshine-band-birmingham-alabama-11-08-2019/event/200056A1C8BA98D0,BJCC Concert Hall,0.061127,KC and the Sunshine Band,,2019-11-08 19:30:00-06:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
21,700 Monroe Street,Huntsville,US,2019-10-05 23:00:00+00:00,Black Jacket Symphony Presents The Eagles' 'Hotel California',Rock,1,34.726557,-86.589925,,1.0,2019-05-03 15:00:00+00:00,35801,37.0,32.0,0.0,AL,Pop,https://www.ticketmaster.com/black-jacket-symphony-presents-the-eagles-huntsville-alabama-10-05-2019/event/20005699A0598FAB,Von Braun Center Concert Hall,0.000252,Black Jacket Symphony,,2019-10-05 17:00:00-05:00,1429,,700 Monroe Street S.w.,35801,Huntsville
22,201 Tallapoosa Street,Montgomery,US,2019-09-09 00:30:00+00:00,Boz Scaggs,Rock,1,32.379101,-86.312081,,1.0,2019-05-17 15:00:00+00:00,36104,77.0,37.0,0.0,AL,Pop,https://www.ticketmaster.com/boz-scaggs-montgomery-alabama-09-08-2019/event/20005673C679970E,Montgomery Performing Arts Centre,0.028363,Boz Scaggs,,2019-09-08 19:30:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
23,6 South Joachim St.,Mobile,US,2019-10-17 00:00:00+00:00,Alter Bridge & Skillet - Victorious Sky Tour,Rock,1,30.6908223,-88.0438137,,1.0,2019-06-28 15:00:00+00:00,36602,56.5,36.5,0.0,AL,Alternative Rock,https://www.ticketmaster.com/alter-bridge-skillet-victorious-sky-tour-mobile-alabama-10-16-2019/event/1B0056D5CA568481,Saenger Theatre Mobile,0.094944,Alter Bridge,Skillet,2019-10-01 19:00:00-04:00,20838,2300.0,59 Sainte-Catherine St. E.,H2X 1K5,Montreal
24,1800 3rd Ave N,Birmingham,US,2019-10-03 01:00:00+00:00,A Night Of Georgia Music,Rock,1,33.515281,-86.809601,,1.0,2019-06-21 15:00:00+00:00,35203,123.0,37.5,0.0,AL,Pop,https://www.ticketmaster.com/a-night-of-georgia-music-birmingham-alabama-10-02-2019/event/200056CCCBE997A8,The Lyric Theatre,5e-06,The Music of Cream,,2019-11-17 20:00:00-07:00,1171,,1621 Glenarm Place,80202,Denver
25,201 Tallapoosa Street,Montgomery,US,2019-10-12 01:00:00+00:00,Cheap Trick,Rock,1,32.379101,-86.312081,,1.0,2019-06-14 15:00:00+00:00,36104,82.0,42.0,0.0,AL,Pop,https://www.ticketmaster.com/cheap-trick-montgomery-alabama-10-11-2019/event/200056BEC9068F3E,Montgomery Performing Arts Centre,0.08778999999999999,Cheap Trick,,2019-10-11 20:00:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
26,6 South Joachim St.,Mobile,US,2019-10-26 00:30:00+00:00,SWITCHFOOT,Rock,1,30.6908223,-88.0438137,,1.0,2019-06-21 15:00:00+00:00,36602,48.5,28.5,0.0,AL,Pop,https://www.ticketmaster.com/switchfoot-mobile-alabama-10-25-2019/event/1B0056CEAF3857D7,Saenger Theatre Mobile,0.098678,Switchfoot,,2019-10-25 19:30:00-05:00,48302,,6 S. Joachim St,36602,Mobile
27,700 Monroe Street SW,Huntsville,US,2019-08-30 01:00:00+00:00,Chris Stapleton's All American Road Show,Country,1,34.726557,-86.589925,4,1.0,2019-02-15 16:00:00+00:00,35801,86.75,36.75,0.0,AL,Country,https://www.ticketmaster.com/chris-stapletons-all-american-road-show-huntsville-alabama-08-29-2019/event/20005637AAE692F5,Von Braun Center Arena,0.08140399999999999,Chris Young,Eli Young Band,2019-10-24 19:00:00-05:00,1498,,700 Monroe St. Sw,35801,Huntsville
28,1001 19th Street N,Birmingham,US,2019-10-05 00:00:00+00:00,Alabama,Country,1,33.523652500000004,-86.8137679,,1.0,2019-01-25 16:00:00+00:00,35203,129.75,13.0,0.0,AL,Country,https://www.ticketmaster.com/alabama-birmingham-alabama-10-04-2019/event/2000563195F48C2C,Legacy Arena at The BJCC ,0.04275,Alabama,The Charlie Daniels Band,2019-11-20 19:00:00-06:00,883686,,501 Broadway,37203,Nashville
29,23101 Canal Road,Orange Beach,US,2019-08-23 00:30:00+00:00,Brad Paisley Tour 2019,Country,1,30.2904338,-87.58747,8,1.0,2019-03-15 15:00:00+00:00,36561,71.0,31.0,0.0,AL,Country,https://www.ticketmaster.com/brad-paisley-tour-2019-orange-beach-alabama-08-22-2019/event/1B005665FD2CA6E2,The Wharf Amphitheater,0.004078,The Marcus King Band,,,4079549,,23325 Wharf Lane,36561,Mobile
30,700 Monroe Street SW,Huntsville,US,2019-11-14 01:30:00+00:00,Five Finger Death Punch,Metal,1,34.726557,-86.589925,,1.0,2019-07-26 15:00:00+00:00,35801,86.5,36.5,0.0,AL,Nu-Metal,https://www.ticketmaster.com/five-finger-death-punch-huntsville-alabama-11-13-2019/event/200056EB9BEC951C,Von Braun Center Arena,0.190899,Five Finger Death Punch,Three Days Grace,2019-11-13 18:30:00-06:00,1498,,700 Monroe St. Sw,35801,Huntsville
31,1817 3rd Ave. North,Birmingham,US,2019-09-02 01:00:00+00:00,The 85 South,Other,0,33.515078,-86.80918,,1.0,2019-05-24 15:00:00+00:00,35203,125.0,37.0,0.0,AL,Other,https://www.ticketmaster.com/the-85-south-birmingham-alabama-09-01-2019/event/200056AE97728D75,Alabama Theatre,0.008819,The Dead South,,2019-11-24 20:00:00-07:00,44406,,730 North Mill Avenue,85281,Phoenix
32,2710 Jack Warner Parkway,Tuscaloosa,US,2019-08-10 00:00:00+00:00,Dierks Bentley: Burning Man 2019,Country,1,33.21155727,-87.57342428,,1.0,2019-03-01 16:00:00+00:00,35406,249.0,10.0,0.0,AL,Country,https://www.ticketmaster.com/dierks-bentley-burning-man-2019-tuscaloosa-alabama-08-09-2019/event/20005653E326957C,Tuscaloosa Amphitheater,0.110998,Dierks Bentley,Jon Pardi,2019-08-09 19:00:00-05:00,1227746,,2710 Jack Warner Parkway,35401,Birmingham
33,23101 Canal Road,Orange Beach,US,2019-08-18 01:00:00+00:00,Little Big Town,Country,1,30.2904338,-87.58747,,1.0,2019-02-15 16:00:00+00:00,36561,62.5,18.0,0.0,AL,Country,https://www.ticketmaster.com/little-big-town-orange-beach-alabama-08-17-2019/event/1B005644A9E370B0,The Wharf Amphitheater,0.086426,Little Big Town,Midland (US),2019-08-16 20:00:00-05:00,1227746,,2710 Jack Warner Parkway,35401,Birmingham
34,700 Monroe Street,Huntsville,US,2019-08-11 01:30:00+00:00,An Evening with Vince Gill,Country,1,34.726557,-86.589925,,1.0,2019-03-15 15:00:00+00:00,35801,86.0,55.0,0.0,AL,Country,https://www.ticketmaster.com/an-evening-with-vince-gill-huntsville-alabama-08-10-2019/event/20005667BEE992ED,Von Braun Center Concert Hall,0.025973000000000003,Vince Gill,Jedd Hughes,2019-08-10 19:30:00-05:00,1429,,700 Monroe Street S.w.,35801,Huntsville
35,2710 Jack Warner Parkway,Tuscaloosa,US,2019-08-17 04:00:00+00:00,Little Big Town,Country,1,33.21155727,-87.57342428,,1.0,2019-02-15 16:00:00+00:00,35406,64.5,13.02,0.0,AL,Country,https://www.ticketmaster.com/little-big-town-tuscaloosa-alabama-08-16-2019/event/200056318957876D,Tuscaloosa Amphitheater,0.086426,Little Big Town,Midland (US),2019-08-16 20:00:00-05:00,1227746,,2710 Jack Warner Parkway,35401,Birmingham
36,700 Monroe Street SW,Huntsville,US,2019-10-25 01:00:00+00:00,Chris Young: Raised On Country Tour,Country,1,34.726557,-86.589925,,1.0,2019-08-02 15:00:00+00:00,35801,61.0,25.75,0.0,AL,Country,https://www.ticketmaster.com/chris-young-raised-on-country-tour-huntsville-alabama-10-24-2019/event/200056F8D9519E08,Von Braun Center Arena,0.08140399999999999,Chris Young,Eli Young Band,2019-10-24 19:00:00-05:00,1498,,700 Monroe St. Sw,35801,Huntsville
37,2100 Richard Arrington Boulevard,Birmingham,US,2019-11-21 02:00:00+00:00,Joe Bonamassa,Blues,1,33.523727,-86.81011,,1.0,2019-04-26 15:00:00+00:00,35203,149.0,69.0,0.0,AL,Blues,https://www.ticketmaster.com/joe-bonamassa-birmingham-alabama-11-20-2019/event/2000568CAAEF9480,BJCC Concert Hall,0.041194999999999996,Joe Bonamassa,,2019-11-20 20:00:00-06:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
38,2100 Richard Arrington Boulevard,Birmingham,US,2019-12-06 01:30:00+00:00,Home Free,Country,1,33.523727,-86.81011,8,1.0,2019-08-02 15:00:00+00:00,35203,297.0,17.5,0.0,AL,Country,https://www.ticketmaster.com/home-free-birmingham-alabama-12-05-2019/event/200056F3D4A49BE8,BJCC Concert Hall,0.005446,Home Free,,2019-12-05 20:00:00-06:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
39,100 River Oaks Dr,Wetumpka,US,2019-08-18 01:00:00+00:00,Johnny Gill,R&B,0,32.525164000000004,-86.21021,,1.0,2019-06-26 19:00:00+00:00,36092,85.0,45.0,0.0,AL,R&B,https://www.ticketmaster.com/johnny-gill-wetumpka-alabama-08-17-2019/event/1B0056DA965437D8,Wind Creek Casino & Hotel - Wetumpka,0.018275,Johnny Gill,,2019-08-17 20:00:00-05:00,3654509,,100 River Oaks Drive,36092,Montgomery
40,6 South Joachim St.,Mobile,US,2019-10-13 01:00:00+00:00,Alison Krauss,Country,1,30.6908223,-88.0438137,,1.0,2019-06-07 15:00:00+00:00,36602,96.5,46.5,0.0,AL,Country,https://www.ticketmaster.com/alison-krauss-mobile-alabama-10-12-2019/event/1B0056B6C0726289,Saenger Theatre Mobile,0.06467200000000001,Chris Tomlin,,2019-10-27 19:30:00-04:00,1101776,,118 S. Palafox Pl.,32502,Mobile
41,2100 Richard Arrington Boulevard,Birmingham,US,2019-09-13 00:30:00+00:00,Gary Allan,Country,1,33.523727,-86.81011,,1.0,2019-04-26 17:00:00+00:00,35203,89.0,29.0,0.0,AL,Country,https://www.ticketmaster.com/gary-allan-birmingham-alabama-09-12-2019/event/2000568CDEE3A01D,BJCC Concert Hall,0.048162,Gary Allan,,2019-09-12 19:30:00-05:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
42,201 41st St S,Birmingham,US,2019-08-22 01:00:00+00:00,Judah & the Lion: Pep Talks World Wide Tour 2019,Folk,1,33.524545,-86.774171,8,1.0,2019-03-08 16:00:00+00:00,35222,43.0,23.0,0.0,AL,Indie Folk,https://www.ticketmaster.com/judah-the-lion-pep-talks-world-birmingham-alabama-08-21-2019/event/2000565CD311A1B9,Avondale Brewing Co.,0.019607,Judah & the Lion,,2019-10-24 20:00:00-07:00,30234,2672.0,601 Smithe St.,V6B 3L4,Vancouver
43,201 Tallapoosa Street,Montgomery,US,2019-09-07 01:00:00+00:00,The Labor Day Blues Show,R&B,0,32.379101,-86.312081,,1.0,2019-03-25 15:00:00+00:00,36104,,,1.0,AL,R&B,https://www.ticketmaster.com/the-labor-day-blues-show-montgomery-alabama-09-06-2019/event/20005673C1219427,Montgomery Performing Arts Centre,0.013243000000000001,The Mavericks,,2019-08-23 19:30:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
44,6 South Joachim St.,Mobile,US,2019-11-08 01:30:00+00:00,Gary Allan,Country,1,30.6908223,-88.0438137,,1.0,2019-07-12 15:00:00+00:00,36602,99.0,39.0,0.0,AL,Country,https://www.ticketmaster.com/gary-allan-mobile-alabama-11-07-2019/event/1B0056E1E899890B,Saenger Theatre Mobile,0.048109,Gary Allan,,2019-11-07 19:30:00-06:00,48302,,6 S. Joachim St,36602,Mobile
45,1817 3rd Ave. North,Birmingham,US,2019-11-15 02:00:00+00:00,Kip Moore: Room To Spare Acoustic Tour,Country,1,33.515078,-86.80918,4,1.0,2019-07-26 15:00:00+00:00,35203,48.0,33.0,0.0,AL,Country,https://www.ticketmaster.com/kip-moore-room-to-spare-acoustic-birmingham-alabama-11-14-2019/event/200056F3BD3996D9,Alabama Theatre,0.049382,Kip Moore,Devin Dawson,2019-11-14 20:00:00-06:00,1354,,1817 3rd Avenue North,35203,Birmingham
46,201 Tallapoosa Street,Montgomery,US,2019-11-09 01:30:00+00:00,Gary Allan,Country,1,32.379101,-86.312081,,1.0,2019-07-19 15:00:00+00:00,36104,99.0,49.0,0.0,AL,Country,https://www.ticketmaster.com/gary-allan-montgomery-alabama-11-08-2019/event/200056E89F788D27,Montgomery Performing Arts Centre,0.048109,Gary Allan,,2019-11-08 19:30:00-06:00,14546,,201 Tallapoosa Street,36104,Montgomery
47,201 Tallapoosa Street,Montgomery,US,2019-11-16 01:00:00+00:00,Gaither Vocal Band,Religious,1,32.379101,-86.312081,,1.0,2019-06-10 15:00:00+00:00,36104,69.5,25.5,0.0,AL,Gospel,https://www.ticketmaster.com/gaither-vocal-band-montgomery-alabama-11-15-2019/event/200056B7D42E9847,Montgomery Performing Arts Centre,0.002763,Gaither Vocal Band,,2019-11-15 19:00:00-06:00,14546,,201 Tallapoosa Street,36104,Montgomery
48,1817 3rd Ave. North,Birmingham,US,2019-12-12 01:30:00+00:00,Chris Tomlin Christmas: Christmas Songs Of Worship,Religious,0,33.515078,-86.80918,,1.0,2018-12-04 02:30:00+00:00,35203,97.0,27.0,0.0,AL,Gospel,https://www.ticketmaster.com/chris-tomlin-christmas-christmas-songs-of-birmingham-alabama-12-11-2019/event/2000557ED3189285,Alabama Theatre,0.06439600000000001,Chris Tomlin,,2019-12-11 19:30:00-06:00,1354,,1817 3rd Avenue North,35203,Birmingham
49,201 Tallapoosa Street,Montgomery,US,2019-08-12 00:30:00+00:00,Lyle Lovett,Country,1,32.379101,-86.312081,,1.0,2019-03-29 15:00:00+00:00,36104,,,1.0,AL,Country,https://www.ticketmaster.com/lyle-lovett-montgomery-alabama-08-11-2019/event/2000567396228886,Montgomery Performing Arts Centre,0.021719,Lyle Lovett,,2019-08-11 19:30:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
50,700 Monroe Street,Huntsville,US,2019-12-28 02:30:00+00:00,Mannheim Steamroller Christmas,New Age,1,34.726557,-86.589925,,1.0,2019-07-26 15:00:00+00:00,35801,69.0,69.0,0.0,AL,New Age,https://www.ticketmaster.com/mannheim-steamroller-christmas-huntsville-alabama-12-27-2019/event/200056D5A3E89216,Von Braun Center Concert Hall,0.042707999999999996,Dawes,,2019-10-03 20:00:00-05:00,1429,,700 Monroe Street S.w.,35801,Huntsville
51,201 Tallapoosa Street,Montgomery,US,2019-10-26 01:00:00+00:00,The Fab Four - The Ultimate Tribute With Ed Sullivan,Undefined,1,32.379101,-86.312081,,1.0,2019-06-21 15:00:00+00:00,36104,53.0,25.0,0.0,AL,Undefined,https://www.ticketmaster.com/the-fab-four-the-ultimate-tribute-montgomery-alabama-10-25-2019/event/20005673C4539627,Montgomery Performing Arts Centre,0.013243000000000001,The Mavericks,,2019-08-23 19:30:00-05:00,14546,,201 Tallapoosa Street,36104,Montgomery
52,401 Civic Center Dr.,Mobile,US,2019-12-30 01:30:00+00:00,Mannheim Steamroller Christmas,New Age,1,30.6870068,-88.04491750000003,,1.0,2019-07-26 15:00:00+00:00,36602,79.0,45.0,0.0,AL,New Age,https://www.ticketmaster.com/mannheim-steamroller-christmas-mobile-alabama-12-29-2019/event/1B0056D1AB2552AA,Mobile Civic Center Theater,0.016022,Mannheim Steamroller,,2019-12-29 19:30:00-06:00,2734,,401 Civic Center Drive,36602,Mobile
53,1800 3rd Ave N,Birmingham,US,2019-10-12 00:30:00+00:00,Michael W. Smith: 35 Years Of Friends,Religious,0,33.515281,-86.809601,,1.0,2019-06-21 15:00:00+00:00,35203,69.5,49.5,0.0,AL,Gospel,https://www.ticketmaster.com/michael-w-smith-35-years-of-birmingham-alabama-10-11-2019/event/200056BE94658AA4,The Lyric Theatre,0.024971,Michael W. Smith,,2019-10-11 19:30:00-05:00,3164724,,1800 3rd Ave North,35203,Birmingham
54,201 Tallapoosa Street,Montgomery,US,2020-02-14 02:00:00+00:00,Joe Bonamassa,Blues,1,32.379101,-86.312081,,1.0,2019-07-26 15:00:00+00:00,36104,199.0,69.0,0.0,AL,Blues,https://www.ticketmaster.com/joe-bonamassa-montgomery-alabama-02-13-2020/event/200056ECE0F3981B,Montgomery Performing Arts Centre,0.041552,Joe Bonamassa,,2020-02-13 20:00:00-06:00,14546,,201 Tallapoosa Street,36104,Montgomery
55,2100 Richard Arrington Boulevard,Birmingham,US,2019-10-26 01:00:00+00:00,AEG & Tom Joyner Present: Magic City Music Fest,Comedy,1,33.523727,-86.81011,,1.0,2019-08-02 15:00:00+00:00,35203,69.0,39.0,0.0,AL,Comedy,https://www.ticketmaster.com/aeg-tom-joyner-present-magic-city-birmingham-alabama-10-25-2019/event/200056F980158D5F,BJCC Concert Hall,0.353977,Bastille,Joywave,2019-10-21 19:30:00-05:00,18173,,2100 Richard Arrington Blvd.,35203,Birmingham
56,700 Monroe Street SW,Huntsville,US,2001-04-20 20:00:00+00:00,98°,Pop,0,34.726557,-86.589925,,1.0,2001-03-21 16:00:00+00:00,35801,,,1.0,AL,Pop,https://www.ticketmaster.com/98-huntsville-alabama-01-01-2038/event/1B003273D130AB50,Von Braun Center Arena,0.019952,Parmalee,,2019-10-13 18:30:00-05:00,1498,,700 Monroe St. Sw,35801,Huntsville
